Species,T(K),Cp_NIST,Cp_pyglenn,Cp_abs_err,Cp_rel_err(%),dH_NIST,dH_pyglenn,dH_abs_err,dH_rel_err(%),S_NIST,S_pyglenn,S_abs_err,S_rel_err(%)
NH3,1800.00,70.708106,69.950810,-0.757295,-1.0710,84207.339924,83666.584887,-540.755037,-0.6422,283.965976,283.563543,-0.402433,-0.1417
NH3,1850.00,71.274580,70.514663,-0.759917,-1.0662,87757.027376,87178.328585,-578.698791,-0.6594,285.911096,285.487871,-0.423225,-0.1480
NH3,1900.00,71.813153,71.053602,-0.759551,-1.0577,91334.333033,90717.635990,-616.697043,-0.6752,287.819074,287.375581,-0.443492,-0.1541
NH3,1950.00,72.325628,71.569045,-0.756583,-1.0461,94937.907808,94283.297211,-654.610598,-0.6895,289.691137,289.227948,-0.463189,-0.1599
NH3,2000.00,72.813609,72.062330,-0.751279,-1.0318,98566.487667,97874.171227,-692.316439,-0.7024,291.528465,291.046183,-0.482282,-0.1654
NH3,2050.00,73.278528,72.534716,-0.743812,-1.0150,102218.884390,101489.181941,-729.702450,-0.7139,293.332186,292.831440,-0.500745,-0.1707
NH3,2100.00,73.721674,72.987389,-0.734284,-0.9960,105893.977660,105127.314352,-766.663308,-0.7240,295.103379,294.584820,-0.518559,-0.1757
NH3,2150.00,74.144205,73.421462,-0.722743,-0.9748,109590.708246,108787.610912,-803.097334,-0.7328,296.843078,296.307372,-0.535706,-0.1805
NH3,2200.00,74.547172,73.837981,-0.709191,-0.9513,113308.072125,112469.168042,-838.904083,-0.7404,298.552268,298.000098,-0.552170,-0.1849
NH3,2250.00,74.931532,74.237928,-0.693604,-0.9257,117045.115379,116171.132848,-873.982531,-0.7467,300.231893,299.663956,-0.567937,-0.1892
NH3,2300.00,75.298157,74.622225,-0.675932,-0.8977,120800.929765,119892.700023,-908.229743,-0.7518,301.882852,301.299860,-0.582992,-0.1931
NH3,2350.00,75.647848,74.991737,-0.656111,-0.8673,124574.648848,123633.108927,-941.539921,-0.7558,303.506006,302.908686,-0.597320,-0.1968
NH3,2400.00,75.981342,75.347277,-0.634065,-0.8345,128365.444613,127391.640856,-973.803757,-0.7586,305.102177,304.491271,-0.610906,-0.2002
NH3,2450.00,76.299322,75.689608,-0.609714,-0.7991,132172.524500,131167.616479,-1004.908020,-0.7603,306.672151,306.048417,-0.623734,-0.2034
NH3,2500.00,76.602420,76.019446,-0.582974,-0.7610,135995.128786,134960.393439,-1034.735348,-0.7609,308.216680,307.580893,-0.635787,-0.2063
NH3,2550.00,76.891225,76.337465,-0.553760,-0.7202,139832.528286,138769.364112,-1063.164175,-0.7603,309.736482,309.089435,-0.647047,-0.2089
NH3,2600.00,77.166289,76.644297,-0.521992,-0.6765,143684.022306,142593.953512,-1090.068794,-0.7587,311.232247,310.574750,-0.657497,-0.2113
NH3,2650.00,77.428129,76.940538,-0.487591,-0.6297,147548.936838,146433.617335,-1115.319503,-0.7559,312.704632,312.037514,-0.667118,-0.2133
NH3,2700.00,77.677231,77.226747,-0.450485,-0.5799,151426.622952,150287.840129,-1138.782823,-0.7520,314.154269,313.478379,-0.675890,-0.2151
NH3,2750.00,77.914056,77.503450,-0.410606,-0.5270,155316.455361,154156.133583,-1160.321778,-0.7471,315.581764,314.897968,-0.683796,-0.2167
NH3,2800.00,78.139037,77.771143,-0.367895,-0.4708,159217.831147,158038.034936,-1179.796210,-0.7410,316.987697,316.296882,-0.690815,-0.2179
NH3,2850.00,78.352590,78.030293,-0.322297,-0.4113,163130.168610,161933.105482,-1197.063128,-0.7338,318.372626,317.675697,-0.696929,-0.2189
NH3,2900.00,78.555108,78.281340,-0.273769,-0.3485,167052.906249,165840.929175,-1211.977074,-0.7255,319.737085,319.034968,-0.702117,-0.2196
NH3,2950.00,78.746969,78.524698,-0.222271,-0.2823,170985.501835,169761.111325,-1224.390509,-0.7161,321.081591,320.375228,-0.706363,-0.2200
NH3,3000.00,78.928534,78.760759,-0.167775,-0.2126,174927.431583,173693.277381,-1234.154203,-0.7055,322.406636,321.696990,-0.709646,-0.2201
SO2,300.00,39.943349,39.909230,-0.034119,-0.0854,72.586000,107.661817,35.075817,48.3231,248.457266,248.467038,0.009771,0.0039
SO2,350.00,41.787922,41.707124,-0.080797,-0.1934,2116.247035,2148.230970,31.983935,1.5114,254.754247,254.754578,0.000331,0.0001
SO2,400.00,43.519329,43.432195,-0.087135,-0.2002,4249.471583,4277.143629,27.672046,0.6512,260.448723,260.437547,-0.011175,-0.0043
SO2,450.00,45.112280,45.034410,-0.077870,-0.1726,6465.863246,6489.388625,23.525379,0.3638,265.667947,265.646993,-0.020954,-0.0079
SO2,500.00,46.559259,46.489003,-0.070256,-0.1509,8758.262271,8778.114560,19.852289,0.2267,270.497176,270.468474,-0.028701,-0.0106
SO2,550.00,47.861309,47.788866,-0.072443,-0.1514,11119.371311,11135.703968,16.332657,0.1469,274.996944,274.961535,-0.035409,-0.0129
SO2,600.00,49.023946,48.938102,-0.085844,-0.1751,13542.068309,13554.487135,12.418825,0.0917,279.212255,279.170043,-0.042211,-0.0151
SO2,650.00,50.055175,49.947412,-0.107763,-0.2153,16019.574975,16027.180218,7.605243,0.0475,283.177831,283.127925,-0.049906,-0.0176
SO2,700.00,50.964468,50.830940,-0.133528,-0.2620,18545.553052,18547.131294,1.578243,0.0085,286.921317,286.862490,-0.058827,-0.0205
SO2,750.00,51.762197,51.604118,-0.158079,-0.3054,21114.162085,21108.435199,-5.726885,-0.0271,290.465315,290.396418,-0.068897,-0.0237
SO2,800.00,52.459304,52.282176,-0.177128,-0.3376,23720.095519,23705.958461,-14.137059,-0.0596,293.828735,293.748989,-0.079746,-0.0271
SO2,850.00,53.067112,52.879112,-0.188000,-0.3543,26358.604063,26335.301909,-23.302154,-0.0884,297.027720,296.936865,-0.090855,-0.0306
SO2,900.00,53.597196,53.406949,-0.190247,-0.3550,29025.511256,28992.719447,-32.791809,-0.1130,300.076300,299.974597,-0.101703,-0.0339
SO2,950.00,54.061310,53.875210,-0.186100,-0.3442,31717.224130,31675.005507,-42.218623,-0.1331,302.986855,302.874958,-0.111898,-0.0369
SO2,1000.00,54.471331,54.290527,-0.180804,-0.3319,34430.740667,34379.359797,-51.380870,-0.1492,305.770469,305.649172,-0.121298,-0.0397
SO2,1050.00,54.839228,54.662880,-0.176348,-0.3216,37163.655122,37103.373282,-60.281840,-0.1622,308.437183,308.307199,-0.129984,-0.0421
SO2,1100.00,55.177034,54.995633,-0.181401,-0.3288,39914.161903,39844.988075,-69.173829,-0.1733,310.996195,310.857939,-0.138256,-0.0445
SO2,1150.00,55.496835,55.294610,-0.202225,-0.3644,42681.058435,42602.374247,-78.684188,-0.1844,313.456011,313.309303,-0.146708,-0.0468
SO2,1200.00,55.810751,55.564587,-0.246164,-0.4411,45463.747303,45373.966224,-89.781079,-0.1975,315.824567,315.668420,-0.156147,-0.0494
SO2,1250.00,56.045386,55.809513,-0.235873,-0.4209,48258.898290,48158.415777,-100.482513,-0.2082,318.106466,317.941722,-0.164744,-0.0518
SO2,1300.00,56.282715,56.032685,-0.250030,-0.4442,51067.197738,50954.555235,-112.642503,-0.2206,320.309306,320.135025,-0.174281,-0.0544
SO2,1350.00,56.498465,56.236872,-0.261593,-0.4630,53886.810505,53761.368089,-125.442417,-0.2328,322.437542,322.253601,-0.183941,-0.0570
SO2,1400.00,56.695628,56.424418,-0.271210,-0.4784,56716.734772,56577.965294,-138.769479,-0.2447,324.495874,324.302241,-0.193634,-0.0597
SO2,1450.00,56.876689,56.597319,-0.279369,-0.4912,59556.105175,59403.565999,-152.539176,-0.2561,326.488601,326.285304,-0.203297,-0.0623
SO2,1500.00,57.043726,56.757284,-0.286442,-0.5021,62404.170094,62237.481740,-166.688353,-0.2671,328.419661,328.206772,-0.212890,-0.0648
SO2,1550.00,57.198489,56.905783,-0.292706,-0.5117,65260.273338,65079.103391,-181.169947,-0.2776,330.292670,330.070284,-0.222386,-0.0673
SO2,1600.00,57.342460,57.044092,-0.298369,-0.5203,68123.839267,67927.890306,-195.948960,-0.2876,332.110947,331.879178,-0.231770,-0.0698
SO2,1650.00,57.476900,57.173316,-0.303584,-0.5282,70994.360613,70783.361238,-210.999375,-0.2972,333.877551,333.636519,-0.241032,-0.0722
SO2,1700.00,57.602887,57.294423,-0.308464,-0.5355,73871.388458,73645.086688,-226.301770,-0.3063,335.595298,335.345130,-0.250168,-0.0745
SO2,1750.00,57.721348,57.408260,-0.313088,-0.5424,76754.523923,76512.682430,-241.841494,-0.3151,337.266789,337.007612,-0.259177,-0.0768
SO2,1800.00,57.833085,57.515573,-0.317512,-0.5490,79643.411246,79385.803998,-257.607248,-0.3235,338.894432,338.626372,-0.268059,-0.0791
SO2,1850.00,57.938792,57.617020,-0.321773,-0.5554,82537.731980,82264.141977,-273.590003,-0.3315,340.480453,340.203636,-0.276817,-0.0813
SO2,1900.00,58.039075,57.713184,-0.325891,-0.5615,85437.200112,85147.417950,-289.782162,-0.3392,342.026922,341.741469,-0.285453,-0.0835
SO2,1950.00,58.134462,57.804584,-0.329878,-0.5674,88341.557929,88035.381007,-306.176921,-0.3466,343.535759,343.241789,-0.293970,-0.0856
SO2,2000.00,58.225418,57.891683,-0.333735,-0.5732,91250.572500,90927.804717,-322.767783,-0.3537,345.008752,344.706380,-0.302371,-0.0876
SO2,2050.00,58.312351,57.974892,-0.337458,-0.5787,94164.032684,93824.484497,-339.548187,-0.3606,346.447566,346.136908,-0.310658,-0.0897
SO2,2100.00,58.395622,58.054583,-0.341039,-0.5840,97081.746556,96725.235314,-356.511242,-0.3672,347.853757,347.534924,-0.318833,-0.0917
SO2,2150.00,58.475551,58.131087,-0.344465,-0.5891,100003.539194,99629.889674,-373.649520,-0.3736,349.228778,348.901880,-0.326898,-0.0936
SO2,2200.00,58.552424,58.204703,-0.347721,-0.5939,102929.250770,102538.295856,-390.954914,-0.3798,350.573989,350.239134,-0.334855,-0.0955
SO2,2250.00,58.626493,58.275702,-0.350792,-0.5983,105858.734896,105450.316355,-408.418541,-0.3858,351.890663,351.547959,-0.342704,-0.0974
SO2,2300.00,58.697986,58.344328,-0.353659,-0.6025,108791.857183,108365.826502,-426.030682,-0.3916,353.179997,352.829551,-0.350446,-0.0992
SO2,2350.00,58.767106,58.410801,-0.356305,-0.6063,111728.493984,111284.713248,-443.780736,-0.3972,354.443112,354.085032,-0.358080,-0.1010
SO2,2400.00,58.834036,58.475323,-0.358713,-0.6097,114668.531296,114206.874081,-461.657215,-0.4026,355.681066,355.315458,-0.365608,-0.1028
SO2,2450.00,58.898940,58.538076,-0.360864,-0.6127,117611.863796,117132.216058,-479.647738,-0.4078,356.894852,356.521825,-0.373027,-0.1045
SO2,2500.00,58.961967,58.599226,-0.362741,-0.6152,120558.393994,120060.654947,-497.739047,-0.4129,358.085408,357.705071,-0.380336,-0.1062
SO2,2550.00,59.023253,58.658925,-0.364328,-0.6173,123508.031480,122992.114453,-515.917028,-0.4177,359.253617,358.866081,-0.387536,-0.1079
SO2,2600.00,59.082919,58.717311,-0.365608,-0.6188,126460.692267,125926.525530,-534.166737,-0.4224,360.400316,360.005692,-0.394623,-0.1095
SO2,2650.00,59.141076,58.774511,-0.366565,-0.6198,129416.298199,128863.825760,-552.472439,-0.4269,361.526293,361.124696,-0.401597,-0.1111
SO2,2700.00,59.197827,58.830641,-0.367185,-0.6203,132374.776430,131803.958792,-570.817638,-0.4312,362.632297,362.223842,-0.408455,-0.1126
SO2,2750.00,59.253263,58.885809,-0.367454,-0.6201,135336.058962,134746.873844,-589.185118,-0.4353,363.719035,363.303839,-0.415196,-0.1142
SO2,2800.00,59.307469,58.940111,-0.367359,-0.6194,138300.082225,137692.525240,-607.556985,-0.4393,364.787179,364.365362,-0.421816,-0.1156
SO2,2850.00,59.360524,58.993638,-0.366886,-0.6181,141266.786709,140640.872008,-625.914701,-0.4431,365.837366,365.409051,-0.428315,-0.1171
SO2,2900.00,59.412498,59.046473,-0.366025,-0.6161,144236.116629,143591.877502,-644.239128,-0.4467,366.870201,366.435512,-0.434689,-0.1185
SO2,2950.00,59.463458,59.098693,-0.364765,-0.6134,147208.019627,146545.509065,-662.510562,-0.4501,367.886260,367.445324,-0.440936,-0.1199
SO2,3000.00,59.513463,59.150368,-0.363095,-0.6101,150182.446500,149501.737725,-680.708775,-0.4533,368.886089,368.439036,-0.447053,-0.1212
